,0.0_Slope,0.0_Intercept,0.0_R2,1.0_Slope,1.0_Intercept,1.0_R2,3.0_Slope,3.0_Intercept,3.0_R2,4.0_Slope,4.0_Intercept,4.0_R2,5.0_Slope,5.0_Intercept,5.0_R2,6.0_Slope,6.0_Intercept,6.0_R2,7.0_Slope,7.0_Intercept,7.0_R2,8.0_Slope,8.0_Intercept,8.0_R2,11.0_Slope,11.0_Intercept,11.0_R2,12.0_Slope,12.0_Intercept,12.0_R2,14.0_Slope,14.0_Intercept,14.0_R2,15.0_Slope,15.0_Intercept,15.0_R2,16.0_Slope,16.0_Intercept,16.0_R2,18.0_Slope,18.0_Intercept,18.0_R2,19.0_Slope,19.0_Intercept,19.0_R2
77.0394,0.08958378985894457,16.289222023634764,0.9088173126424806,0.10781538951865892,14.758533696807,0.9283106490315339,0.09948388798168638,15.250979455552605,0.9177177207185058,0.0885256613333961,16.895974645800507,0.9407109736926609,0.22923560569798315,8.772614712902197,0.4854396928457352,0.11236932711615702,14.66392894744161,0.936280917230997,0.10580153631183271,15.25805560902145,0.985904016511016,0.09846952362975338,15.535553615166348,0.9405043769826312,0.09134393702989323,16.43179323313024,0.9669404132611426,0.10297813482399289,15.204904925595471,0.931293208202587,0.09004355243859066,16.035672440571346,0.9627661098238484,0.08635036718340791,15.293540146175747,0.8735680836961788,0.10253421082233997,15.155902140144505,0.8498962560021132,0.10418727283072146,14.604210162892803,0.9272707703196036,0.11578445527673044,14.057170748047433,0.8158316676197092
79.0114,0.009429709979029283,5.411631109622193,0.8192396300081908,0.020309673038588008,5.207954828657555,0.9210422301007802,0.011643281394183603,5.490350522169372,0.7798844684479597,0.009322392658117823,5.676480646658533,0.296460527989017,0.034848416464037184,3.5548212219494326,0.38404770079205586,0.013221800799149563,5.482326300169163,0.7624873420449427,0.015605788658530687,5.296690603956055,0.7991481048672131,0.016439456881903926,5.27251863724629,0.87373454676838,0.011187748510678485,5.512069565343503,0.912185737438727,0.013233002923652702,5.509703221585727,0.6229927586584185,0.011292162951494805,5.347146305153532,0.8283128021675223,0.013090631027600703,5.081977068734812,0.6531246334465668,0.0224071642814431,5.218413034465911,0.8977944284404109,0.012211576142439937,5.40390488074057,0.9165760258909845,0.023857084260664276,4.696904805904987,0.8272563800143435
80.9642,0.01762313978190292,1.9971930569256422,0.9681397575504299,0.020046177160800337,1.8448241679158421,0.9990352400837522,0.01944665592106493,1.920941863763975,0.9916972316514677,0.017643915939968502,2.0893042029758195,0.9816755836054554,0.03895263406794586,1.127591617246793,0.7271040264183806,0.023386265730447893,1.8573707996624966,0.9198581993763116,0.020761116369645578,1.902465712822866,0.9847342612180403,0.016270184393395653,2.0369030916170234,0.9150475109139135,0.016884085367147496,2.046876904111199,0.9802502841135259,0.017355792378647907,1.9400161292673639,0.9874363379572517,0.01659580075894073,2.0332460557818752,0.9426378858738685,0.016716112371787946,2.0038270260382505,0.9347688659033291,0.019883652134684317,2.021143968445345,0.8789091971277775,0.020218909425450335,1.8898421680566098,0.9489285640023071,0.018251455316324935,1.8128282844781227,0.9924006838952489
83.0134,0.03251684322836325,7.594611158513143,0.8948947867616451,0.0286600587756886,7.1348682297007535,0.8804527806849288,0.03425939834816358,7.088483935107027,0.882444023635686,0.04203037825279679,6.884298239374501,0.9414122088510812,0.009026775648153334,11.49024076053572,0.020433242841399357,0.027572954194972295,7.228083235997727,0.891325345291001,0.03335940218448615,7.1164610892372995,0.9037910519470491,0.029829805434354414,7.240114704342408,0.900551162111328,0.036614705783175557,7.250404860055403,0.9363910754219209,0.03291390589746405,7.094110050555662,0.9737966227139289,0.03130279036020687,8.10897961109676,0.8845990803900249,0.03125533278928016,7.8957617927318235,0.8137386783988585,0.0227676919864508,7.321226991845076,0.6970729031789988,0.032371936743897246,6.915105313685143,0.8628460568610651,0.03699570830412206,7.253173026995219,0.8453703534230965
84.0215,0.013401621445323154,2.6457231317856635,0.9232634560157691,0.010506205493374138,2.7837799379615387,0.7399094504118344,0.016878939742045275,2.5710052311719997,0.9521853096593434,0.012369304315559547,2.597280426144927,0.931387173147144,0.028269342713494995,2.624911888421913,0.4839737481225327,0.012194145132431373,2.7452291459858613,0.9016406961277762,0.015812887537738785,2.5786849349320575,0.9773994555593719,0.014057771873992844,2.609602459385727,0.9730440456929954,0.014178763559916836,2.5922212820436017,0.958664125583276,0.014273582426808639,2.6801977684557827,0.9324768104660055,0.016118391159948845,2.669134032354665,0.8654812179034401,0.011247791387354295,2.794456268493881,0.9906031283416309,0.01351961541026539,2.637032533140129,0.7769410220261093,0.01396287500904422,2.6296329042447653,0.9641245259843728,0.016075670322956634,2.684322222781775,0.8746164912157925
84.0454,0.04282945446647738,0.5666136442583205,0.9725226425942113,0.04063884489732529,0.4595825144658805,0.9434284250294325,0.04009517769251234,0.4078757815669527,0.9821484165727891,0.039360827780114384,0.47699002536895985,0.9807227792896344,0.08407374823717222,1.4936159218487979,0.6452193523755623,0.04255762170741802,0.38582806173206596,0.9366675418768342,0.03848317645873628,0.40916188797198494,0.9677691905235285,0.03739535036564522,0.4825279540989822,0.9779734130072285,0.040138602924292534,0.5677838586479982,0.9709601848021034,0.04063747560861178,0.40887578793817614,0.983552387062236,0.04418747578820747,0.5544201725129516,0.968871770784681,0.040683597836754154,0.7294772515277979,0.974072652487747,0.04113572019254394,0.4624152887382471,0.9705211375451454,0.03805153327149035,0.43824269013359185,0.9551457149236104,0.03998805002539277,0.6066037589549869,0.990355664873317
85.0294,0.12486761659724709,6.786135529909275,0.8985604223985602,0.10492091470543932,5.258292099990006,0.9226498311373471,0.11354824781621399,5.166168111558109,0.8414395255957534,0.14372744264097373,5.84547529105856,0.935151702364827,0.2171378132262546,6.94411626269106,0.49639491835781946,0.0821704406775618,5.639482201730017,0.895971863196585,0.11484441211385263,5.442614479875081,0.8140472186907601,0.11507948705436631,5.625645548569896,0.8387576695607091,0.1336075569086336,6.172073760795684,0.9662962244198589,0.12271794668855976,5.337445760807752,0.8873083880246014,0.1242051484303415,7.546682006533498,0.9230352815027446,0.11155498395142963,7.305953878541286,0.9911374043823692,0.09687847965601484,5.826569596176958,0.9211257442167828,0.09953702568710249,4.965574459409087,0.8371948714785149,0.10980777247231191,6.093382792241791,0.7248997879423261
86.0245,0.010691530143419151,0.915573657822628,0.7707196820060562,0.009082166964738025,1.1480783249823892,0.6509210449197367,0.013496316184470553,0.995132740776332,0.8502357722264926,0.01199792465823655,0.8581656871995152,0.8673725463470355,0.0026744155777850644,1.0514348079260745,0.009946425446987428,0.014337287049975367,1.1365559356359718,0.7381220593046558,0.013226450800369854,0.9769350872812201,0.8650744826559758,0.011926846382405482,0.9828619539475956,0.8526148888771587,0.00903304467644306,0.9975503664712728,0.7685906167101907,0.01341362678768949,1.0587880392690059,0.8053345592941574,0.009799399839886912,0.9209778578669707,0.9203464650994757,0.010472907751785505,0.9066220817707525,0.8785731005208409,0.015555276208728762,1.135822983838428,0.7998530621204356,0.015503898890665242,1.067472381054946,0.8689428408506402,0.012843838604086662,0.9189708629597074,0.9093705127318643
86.0611,0.005832717156265823,0.8189186667954336,0.9626227375616621,0.007693936733013133,0.7277751089488557,0.7714584391681123,0.006087603774236286,0.7596830593220639,0.9163868879663147,0.004908757322302102,0.8486579710266244,0.8302480966506702,0.006162608753443061,0.834576322871837,0.13691967390004212,0.007642535507464265,0.7073523402058757,0.9737392939007345,0.004010640750662449,0.8281727501338719,0.9263052762580871,0.00678837192961243,0.7505247008480243,0.9405181892621667,0.006689110827239152,0.7743175521509149,0.9516800567698,0.004486267897199125,0.8282243532707965,0.8194250427296782,0.007028884583634295,0.7744251030230976,0.9310318420328259,0.00528423718180288,0.8510760876907979,0.9690209499334177,0.004774792347361715,0.7913966175612628,0.44007561920164573,0.005957062796160155,0.7409057118480344,0.7008303675556711,0.007959197949437394,0.7068697110632536,0.968062496331122
87.0448,0.01142193913049426,0.8780035649054878,0.972485623325398,0.012734021271593345,0.8075862648137457,0.9635324204775508,0.01187085157297043,0.8742311540567853,0.9978750940285586,0.010055585071990664,0.8232594564017484,0.986653664778088,0.021547642070737397,0.6086674978224114,0.5273258348302312,0.010583956966580375,0.9189175378571668,0.9726686064685833,0.008686974226999489,0.9510056784815821,0.9865604991777751,0.010743411390719423,0.86104876339413,0.9757430852474636,0.009951798997620076,0.8521874305595175,0.9083836521808965,0.009612875246982611,0.8759096431612728,0.9006931258053105,0.011373737537238601,0.8817148683261741,0.8741912133379373,0.012182947002130757,0.8606374990737227,0.9709028685565145,0.006519117696934306,1.0789876093893054,0.7287214798997577,0.007818114566166932,0.9712353593025089,0.8761549156399384,0.012156102711116144,0.8229908872626994,0.9666226151790805
88.0401,0.014126080647218424,0.27535251267033545,0.9436401803602584,0.014088192541770447,0.2223750633731536,0.9519912760278411,0.01470244744726866,0.17734397661569357,0.9834881208868552,0.012715523892085396,0.24123118121723885,0.9595176215939799,0.03986738224461432,0.26447742766903715,0.7750071854012559,0.014315410237961365,0.25609418653809524,0.9527044023978387,0.013066263689606228,0.20735324356013451,0.9268233309962749,0.01366796378604855,0.19359951677047027,0.9663139527986837,0.015755250925673335,0.2187811140213079,0.9947663842506445,0.015166792649259393,0.16714375570244144,0.9802505876655064,0.01599506523421157,0.2529443351971844,0.956737845208587,0.01452151658355498,0.3286450333484737,0.9584425277554124,0.016252166171553575,0.19854310633339867,0.9434182507849963,0.015143236224127441,0.2180828033094639,0.9355185632633785,0.01364974642861589,0.28782600362087196,0.9584137020743051
89.0241,0.01300869694385631,0.3472040965827883,0.9226698969475977,0.011116792317013662,0.3372160580426264,0.7467115635008308,0.011964234746038386,0.3192550104586843,0.938448499259036,0.01165186361140431,0.3623682809684134,0.9419713622094152,0.030334510089546584,0.20120201214151778,0.8008193315889856,0.009989539250145271,0.36503351350649504,0.8220741555366716,0.011853515628277064,0.36710231939359494,0.8799801847180403,0.012115351433914234,0.3413485222631808,0.9310122997591407,0.012871565031147504,0.35387110070340294,0.9121278616464572,0.009123955172273438,0.39073891071556044,0.8446484723800006,0.013518048154971712,0.3574563631805972,0.908275775769078,0.013141471650380782,0.39030831476845745,0.9208027641082932,0.008641118017373238,0.37446567531519565,0.8572720776463176,0.010219320937720615,0.36472505513029985,0.7019672242199176,0.011867806833452186,0.39207931662853207,0.9604388026953848
90.0273,0.04710153125138343,11.309646728386827,0.889023882200855,0.03482338210319391,13.58408373171677,0.8150429987307515,0.037829279078451045,13.178954116280611,0.9379308754877161,0.048262847479961866,11.58385473495618,0.9268808833615798,0.11372373939255477,8.018297280970348,0.8110730991242711,0.027378254104456528,14.647895867510034,0.8258132452466197,0.042688280775695586,12.700718009041285,0.9309603709425884,0.046967009920527464,12.215874148726813,0.9628158840470142,0.04034364033750356,11.630072329532393,0.9070111336241302,0.03343964372458791,13.474101651240332,0.9476687433215605,0.0485889165392143,10.810725306630358,0.9420940366957513,0.04891693065744692,10.891331054527527,0.9296169224004882,0.01691516515088911,15.16730434091678,0.9595090097352291,0.027719853156635624,14.250323736569209,0.8506533613169889,0.054607490871221735,11.289036012886356,0.9465847251242955
95.9519,0.006294215500112229,0.6564635438164554,0.9958102864101671,0.005443845390830944,0.6832527118155922,0.9269628132375205,0.0056104685311252215,0.6786589358085764,0.8847145843820181,0.006631324323770179,0.5896085579021849,0.9115606790665963,0.010258963885532385,0.19580248115768756,0.537532994350219,0.006219836374120418,0.7674907269279749,0.8341309315384635,0.005210576697855139,0.6994000483809244,0.9471699281295304,0.004612842114273159,0.6936545469142172,0.9767519870581073,0.0060017006195843825,0.617949755327092,0.957499260502307,0.00587496638723211,0.6633293851412042,0.9202048236930955,0.00636911093763196,0.6030747028107206,0.914896045573957,0.006295172305285504,0.6391282250350989,0.9780664309619624,0.0031560989976805857,0.8104494537676233,0.8719200155789438,0.0041678033073205105,0.7259917338507674,0.7188091386738991,0.006868070947309952,0.6475797555649547,0.8527531380754495
95.9615,0.035801141532626625,10.319792408784481,0.9486799951947065,0.019401324748331828,10.918228967749759,0.8821936013875915,0.02622225627452629,10.50789731903171,0.7941907091041911,0.03783709260981342,9.752419691459721,0.9257754689744737,0.07714314431433864,8.203702598708826,0.3672918151693392,0.01912321019917334,10.847988423532508,0.7650309987139736,0.02607279766893969,10.637308922499363,0.8600393570742706,0.03281693463012062,10.119420098410503,0.9033171404511389,0.028121796065663906,10.192234766801995,0.9016286304951215,0.02338870290073111,10.735416937514682,0.9609326344815158,0.02769028489217974,10.94308651253773,0.9280574243231483,0.03848209911642476,10.249112337219334,0.8808014056871782,0.012489407629536084,11.332474809196711,0.9173499633773745,0.02284096364904482,10.641728682342634,0.7729884080865371,0.033536436462185716,10.295652057864528,0.7431422674821833
96.9696,0.0019601676115909307,0.4094281632074442,0.4292488700362743,0.0019699027320688144,0.43332562599343916,0.6720790300292047,0.00121275017648743,0.42927174542724716,0.3093643776137971,0.0020733742538306572,0.4096331453784682,0.7857654829934562,0.020712455827872168,0.07847503953965951,0.9713653520886053,0.000730074745649145,0.481570206424755,0.040180369085465406,0.001610066883637739,0.42129271184340733,0.6389947450089694,0.0014429211971021387,0.4410557271696973,0.9073643473449116,0.002586123408957246,0.4056167830870886,0.7748086824766609,0.0006186818117002767,0.45694809642769674,0.29538860176332127,0.0016239258618976529,0.4494925204680639,0.5947901403544056,0.0007929192316045289,0.4828599827975963,0.2006158668747282,0.0009710515137202903,0.4480001587702282,0.13970682938868562,0.0026036904676619917,0.3583577144276957,0.7651490450647225,0.002429784594368687,0.37067850007935216,0.8568520717628046
97.9735,0.06813202014373633,14.853064000587349,0.956279637445627,0.07498890986869736,14.900474422795568,0.7465477546880845,0.07344952319895376,14.89779884720328,0.8952092158930729,0.055944551833377924,15.479990045500507,0.8787902271407578,0.16159133739322046,11.7807452067385,0.5072775341649898,0.08185071059598509,14.577799528581705,0.8728238969021952,0.07778402186620675,14.836220314230001,0.8917273802596261,0.07031158034050929,14.74910673526922,0.8902472061485809,0.061616882148235186,15.077299701854912,0.9539489230689248,0.07457308324402329,14.757337086575156,0.8397132242834997,0.07036838567821022,14.467827971728811,0.9495364677525637,0.07911083963184969,13.930582591546681,0.9438374628893372,0.08292419520144241,14.655285056401919,0.8560051102060288,0.07113254613055749,14.86144336047704,0.8581483737495738,0.09215132572727908,13.446322714152386,0.8694102433673678
98.9735,0.0014724989286442679,1.7243220437468054,0.09023410126168707,0.0007723028091033818,1.8575428511214864,0.029139921262899326,0.0025636135509365197,1.8028744509462251,0.21531162344905685,0.000522356975017546,1.7246660959323088,0.021262509915188743,0.013807647833669659,1.7733675384025342,0.16820771509759613,-0.0039945756677628825,2.008841589248934,0.8717374617915639,0.0010325704753305306,1.8436385472736274,0.12348214221351639,-0.0005639569141776007,1.8116097240043574,0.02698631710327215,0.0004109689425159218,1.7705195270684155,0.004223434696559725,-1.588910414919229e-05,1.8180211213494581,0.00040331768957058145,0.001496724281997374,1.8105775938734538,0.25374108963208286,-0.0010600410020274137,1.8267899737246402,0.05883538106534136,-0.0031050276082446055,2.032538717213953,0.9799593118427372,-0.002114398699490877,1.9121436769811444,0.07370710610897391,-0.0001113092995997847,1.786459367363588,0.0003857650857088668
