feature_mz,scils_interval_half_width_da,search_half_width_da,01_peak_mz,01_peak_intensity,02_peak_mz,02_peak_intensity,03_peak_mz,03_peak_intensity,04_peak_mz,04_peak_intensity,05_peak_mz,05_peak_intensity,mean_peak_mz,mean_peak_intensity
136.0629,0.0027212580000082,0.0013606290000000001,136.05693832482714,118.8877692928179,136.05693832482714,120.33465668891762,136.05693832482714,115.12079877174688,136.05693832482714,110.49567821433564,136.05693832482714,108.73398500499567,136.05693832482714,114.71457759456275
136.8625,0.0027372499999956,0.001368625,136.8625383248539,65.6478213497325,136.8625383248539,141.25770061114306,136.8625383248539,198.45339991195712,136.8625383248539,235.08729928984133,136.8625383248539,292.3536198598231,136.8625383248539,186.5599682044994
136.9645,0.0027392899999938,0.001369645,136.97043832485747,85.13125597161631,136.97043832485747,96.04302189064428,136.97043832485747,101.79564421665316,136.97043832485747,106.03930082508302,136.97043832485747,109.39257581273829,136.97043832485747,99.68035974334703
137.0008,0.00274001599999,0.001370008,137.00023832485846,1431.1318117934577,137.00023832485846,1761.8017846894766,137.00023832485846,1874.6474028961695,137.00023832485846,1965.327417541837,137.00083832485848,2033.2819594528603,137.00023832485846,1810.5040230717768
137.0598,0.0027411959999881,0.001370598,137.05383832486024,352.55049145110803,137.05383832486024,359.0050908526737,137.05383832486024,325.156185465744,137.05383832486024,309.2815863429034,137.05383832486024,290.9300950217226,137.05383832486024,327.3846898268303
137.0714,0.0027414280000073,0.001370714,137.0707383248608,125.08643410351776,137.0707383248608,127.94626508586616,137.0707383248608,126.73087207929412,137.0707383248608,123.77318594530816,137.0707383248608,122.22796978943572,137.0707383248608,125.15294540068439
137.9956,0.0027599119999877,0.0013799559999999999,138.0016383248917,462.970233719326,138.0016383248917,481.74643888475606,138.0016383248917,427.1661341143089,138.0016383248917,411.616350761918,138.0016383248917,374.8031084684456,138.0016383248917,431.6604531897509
138.0046,0.0027600919999884,0.001380046,138.010638324892,5225.964525188809,138.010638324892,5751.730814562176,138.010638324892,5279.013941709712,138.010638324892,5102.5199468497685,138.010638324892,4731.230918607934,138.010638324892,5218.092029383681
138.8601,0.0027772020000043,0.001388601,138.8661383249204,27.80342424047092,138.8661383249204,36.52444339543305,138.86083832492022,40.1615358120829,138.86073832492022,43.22578002779028,138.8601383249202,49.1071702622559,138.86083832492022,38.82194710003561
138.8747,0.0027774939999858,0.0013887469999999999,138.87473832492068,32.94913904907364,138.87473832492068,45.366556039676325,138.87463832492068,46.96750084784978,138.87463832492068,46.62687473883624,138.87463832492068,47.43842169737867,138.87463832492068,43.868034147458715
138.9803,0.0027796059999901,0.0013898029999999998,138.9802383249242,748.9444517015407,138.9802383249242,835.9465983303609,138.9802383249242,848.265350849282,138.9802383249242,849.5327186442587,138.9802383249242,853.827805236764,138.9802383249242,827.3033849524412
139.0039,0.0027800780000007,0.0013900389999999998,138.99783832492477,187.34787545803871,138.99783832492477,203.35272813425155,138.99783832492477,202.97718715561643,138.99783832492477,203.46916356523556,138.99783832492477,204.1099166415882,138.99783832492477,200.25137419094608
