group,mz,cluster,r2
dn1,671.46415998698,5,0.988139258927184
dn1,671.46415998698,6,
dn1,671.46415998698,7,0.9540489011349436
dn1,671.46415998698,8,0.9885954910202784
dn1,671.46415998698,9,0.9926080238401204
dn1,671.46415998698,10,0.9909501748161876
dn1,671.46415998698,11,
dn1,671.46415998698,12,0.9928480477239888
dn1,671.46415998698,13,0.9874936946892126
dn1,671.46415998698,14,0.9897346631204992
dn1,671.46415998698,15,0.9686597231489684
dn1,671.46415998698,16,0.9924248406088966
dn1,671.46415998698,17,0.9973670823972308
dn1,671.46415998698,18,0.9881920463984062
dn1,671.46415998698,19,0.9959817206167616
dn2,671.46415998698,0,0.9956074264537456
dn2,671.46415998698,1,0.998786446201632
dn2,671.46415998698,2,0.9942567052389591
dn2,671.46415998698,3,0.9994240730234786
dn2,671.46415998698,4,0.999445144373273
dn2,671.46415998698,5,0.9855993296878046
dn2,671.46415998698,6,0.997582557133564
dn2,671.46415998698,7,0.9994854417744258
dn2,671.46415998698,8,0.9971131853623796
dn2,671.46415998698,9,0.998895412759531
dn2,671.46415998698,10,0.9981788287280666
dn2,671.46415998698,11,0.9788109389195696
dn2,671.46415998698,12,0.9897091930961458
dn2,671.46415998698,13,0.9971380389563964
dn2,671.46415998698,14,0.9910212602186566
dn2,671.46415998698,15,0.994462429036056
dn2,671.46415998698,16,0.9984490886861822
dn2,671.46415998698,17,0.9996224382795345
dn2,671.46415998698,18,0.9825379522169856
dn2,671.46415998698,19,0.9963706964882442
dn3,671.46415998698,0,0.996931280054869
dn3,671.46415998698,1,0.9974456440187532
dn3,671.46415998698,2,0.9887476523142796
dn3,671.46415998698,3,0.984586588991542
dn3,671.46415998698,4,0.9926143918417044
dn3,671.46415998698,5,0.9803859890668254
dn3,671.46415998698,6,0.9888187665330872
dn3,671.46415998698,7,0.9974187337226204
dn3,671.46415998698,8,0.9949713306874192
dn3,671.46415998698,9,0.9792865688763492
dn3,671.46415998698,10,0.9941319027079346
dn3,671.46415998698,11,0.9801146555238044
dn3,671.46415998698,12,0.9884789015629614
dn3,671.46415998698,13,0.9946512308092188
dn3,671.46415998698,14,0.9973572782657294
dn3,671.46415998698,15,0.990702918326281
dn3,671.46415998698,16,0.9934617742576892
dn3,671.46415998698,17,0.9957884700697996
dn3,671.46415998698,18,0.994240909638651
dn3,671.46415998698,19,0.988781596069731
ctrl1,672.46874873485,0,0.9783897784944392
ctrl1,672.46874873485,1,0.9780336615412912
ctrl1,672.46874873485,2,0.9828044360146256
ctrl1,672.46874873485,3,0.976164026564249
ctrl1,672.46874873485,4,0.974231337110306
ctrl1,672.46874873485,5,0.983235071816401
ctrl1,672.46874873485,6,0.9827837050859682
ctrl1,672.46874873485,7,0.9825330849689222
ctrl1,672.46874873485,8,0.9755047341817884
ctrl1,672.46874873485,9,0.962467567817478
ctrl1,672.46874873485,10,0.974677611180266
ctrl1,672.46874873485,11,0.9764779388637526
ctrl1,672.46874873485,12,0.9763412390804702
