group,mz_key_2dec_trunc,mz,min_r2,max_r2
ctrl3,417.23,417.23978249129,0.915398083352238,0.994410626627426
ctrl3,421.07,421.07293719932,0.9780650102487296,0.9983144546377608
ctrl3,431.25,431.25348282918,0.9311242938528824,0.993470088227958
ctrl3,433.23,433.23531812981,0.9393521384879672,0.9916355726791316
ctrl3,442.24,442.24588200443,0.90923840692968,0.9748393431328578
ctrl3,443.25,443.25313578602,0.9453080457007794,0.9847933667879843
ctrl3,445.27,445.27007818172,0.9059669064090984,0.9866127209146488
ctrl3,458.26,458.26654423494,0.9458103884944584,0.998730330751656
ctrl3,459.27,459.27354316006,0.9676194262889356,0.9956692326053572
ctrl3,461.28,461.28726488296,0.9687900585748024,0.9936122906056666
ctrl3,476.17,476.17762874405,0.9492528133167352,0.991917482206193
ctrl3,480.27,480.27120101397,0.972890694539894,0.9959489397578748
ctrl3,503.26,503.26451362708,0.9692794015647052,0.9979365539538272
ctrl3,504.26,504.26952758518,0.9560550908513152,0.9973174740977618
ctrl3,505.27,505.27907493238,0.9073712058909904,0.9789044106411902
ctrl3,578.28,578.28439320962,0.9299154086347068,0.9923801589709056
ctrl3,669.43,669.43939899455,0.9227514685633648,0.9913638435702632
ctrl3,671.46,671.46415998698,0.9706456082798156,0.9962300812827476
ctrl3,672.46,672.46874873485,0.9697397081697692,0.9954907245202028
ctrl3,714.5,714.50542133153,0.9631953888198356,0.9916281924602164
ctrl3,715.51,715.51000608975,0.9535583942497556,0.9892241747265932
ctrl3,716.52,716.52316846962,0.9134125041650772,0.989272882030498
ctrl3,741.52,741.52253421027,0.9038598513392232,0.9905157019657824
ctrl3,758.49,758.4944870645,0.9652723008865944,0.9988676702665936
ctrl3,761.51,761.51169262237,0.9710113895776248,0.99960973868044
ctrl3,833.51,833.51812258925,0.9640155525228856,0.9931802902825576
dn1,126.9,126.90479475562,0.90123523038952,0.9983059885440996
dn1,176.93,176.93578236842,0.910840884583055,0.9947933600058034
dn1,231.02,231.02746798817,0.938032854448111,0.989750147845637
dn1,277.21,277.2172366366,0.9785352448117732,0.9972852479756256
dn1,278.22,278.22118958497,0.972258536831658,0.996497364295624
dn1,393.24,393.24039950066,0.9392891124434334,0.9959064131978428
dn1,421.07,421.07504256736,0.9626102507248876,0.9984534442574976
dn1,459.27,459.27354316006,0.9416059263627752,0.981807053438608
dn1,461.28,461.28726488296,0.9236551241830236,0.9855164910913418
dn1,480.27,480.27120101397,0.9128917785729206,0.9993079332074412
dn1,503.26,503.26451362708,0.956869216916196,0.9989046544331605
dn1,504.26,504.26952758518,0.9132092854305732,0.9962685565125616
dn1,671.46,671.46415998698,0.9540489011349436,0.9973670823972308
dn1,672.46,672.46874873485,0.9700909521951526,0.9955266924451142
dn1,714.5,714.50899386431,0.9436530807416807,0.9949526433498522
dn1,715.51,715.51000608975,0.9243106204666852,0.9980998209697683
dn1,744.49,744.49083927447,0.9558969043147186,0.9983999701400172
dn1,758.49,758.49827954296,0.9694632959226122,0.9996429087948716
dn1,761.51,761.51169262237,0.9301337577582042,0.9980526275597512
dn1,833.51,833.51812258925,0.9462464619321498,0.9970249319745343
dn2,96.96,96.969587905343,0.9001702566871052,0.9817785804133872
dn2,132.02,132.02972963141,0.9009947697486228,0.9709022005283336
dn2,145.06,145.06139056687,0.9013743088873296,0.9892759287467836
dn2,158.92,158.92493009626,0.9079339764816609,0.9580349842150844
dn2,176.93,176.93578236842,0.9556689685225476,0.997768380788227
dn2,223.02,223.02673330558,0.9211352680680064,0.9963470170916516
dn2,231.02,231.02746798817,0.957076949833822,0.9924076867428614
dn2,253.21,253.21692413866,0.9286882095044302,0.9611727057371922
dn2,254.22,254.22037918472,0.9036596371403796,0.9787176744327564
dn2,267.23,267.23180893663,0.9096423205820948,0.986538666137424
dn2,272.08,272.08825038207,0.9359778080985282,0.9795107032936364
dn2,277.21,277.21585055514,0.9797702436001888,0.9964945354424796
dn2,278.21,278.21979848376,0.9640612255336092,0.9997207288298584
dn2,278.87,278.87020016974,0.9086998990296746,0.978196038250986
dn2,311.11,311.11615824211,0.9072200963474676,0.999557644679676
dn2,337.03,337.03988240852,0.90304671148175,0.9922559167154776
dn2,393.23,393.23843330537,0.931873631679917,0.9987568316568172
dn2,421.07,421.07293719932,0.9739247935152135,0.9995192856193738
dn2,458.26,458.26654423494,0.9473542081294388,0.999413269768761
dn2,459.27,459.27354316006,0.9204632318774486,0.9930764041459684
dn2,480.27,480.27120101397,0.9726587422897056,0.9984331316849934
dn2,503.26,503.26451362708,0.941148905397658,0.9998736701150168
dn2,504.26,504.26952758518,0.901262190849514,0.9932789997678272
dn2,595.12,595.12457377191,0.9352769768471816,0.9941830425364464
dn2,671.46,671.46415998698,0.9788109389195696,0.9996224382795345
dn2,672.46,672.46874873485,0.965255779249806,0.9997506971574428
dn2,744.49,744.49083927447,0.918470318048508,0.9995388897099792
dn2,758.49,758.4944870645,0.91978205084204,0.9997351547824952
dn2,761.51,761.51169262237,0.9309752770784808,0.9975877966920276
dn3,176.93,176.93578236842,0.9382791834567706,0.999170514373031
dn3,277.21,277.2172366366,0.9803940317707556,0.9993795745556924
dn3,278.22,278.22118958497,0.9610249821871067,0.9992270357566084
dn3,324.29,324.29101395197,0.9282798581392396,0.9995230682509176
dn3,393.24,393.24039950066,0.958043453957697,0.9983425962622856
dn3,421.07,421.07504256736,0.9771335192039786,0.9998863916086648
dn3,461.28,461.28726488296,0.9262150611971072,0.9874945331337482
dn3,480.27,480.2736023738,0.905315426204309,0.9976663137720008
dn3,503.26,503.26451362708,0.9611496019161644,0.9984970704141046
dn3,671.46,671.46415998698,0.9792865688763492,0.9974456440187532
dn3,672.46,672.46874873485,0.9707593629643584,0.9969430270056744
dn3,714.5,714.50899386431,0.963752467746684,0.9977116212255585
dn3,715.51,715.51000608975,0.9299548138105584,0.988510829808315
dn3,744.49,744.49456173459,0.9571956228550318,0.9984933497719553
dn3,758.49,758.49827954296,0.9743731903589404,0.9993212762724466
dn3,761.51,761.51169262237,0.9205287681372478,0.9916829779704864
dn3,833.51,833.51812258925,0.9631348325281472,0.9978448353231132
