group,mz,cluster,r2
ctrl1,248.07014470253,14,0.990429053199792
ctrl1,248.07014470253,15,0.9937963792236014
ctrl1,248.07014470253,16,0.9830755851272592
ctrl1,248.07014470253,17,0.9689602348313462
ctrl1,248.07014470253,18,0.9826473269355416
ctrl1,248.07014470253,19,0.9777713767328474
ctrl1,249.18523701198,0,0.9015956868578257
ctrl1,249.18523701198,1,0.9811513273870244
ctrl1,249.18523701198,2,0.9182123222327684
ctrl1,249.18523701198,3,0.9271470843195008
ctrl1,249.18523701198,4,0.9313454139911828
ctrl1,249.18523701198,5,0.9669158342663678
ctrl1,249.18523701198,6,0.9647419069930138
ctrl1,249.18523701198,7,0.95222545180563
ctrl1,249.18523701198,8,0.9353555153310956
ctrl1,249.18523701198,9,0.9544284259032488
ctrl1,249.18523701198,10,0.9482490754369002
ctrl1,249.18523701198,11,0.9176556523060536
ctrl1,249.18523701198,12,0.9744165825866244
ctrl1,249.18523701198,13,0.9201515508665647
ctrl1,249.18523701198,14,0.9288790240181672
ctrl1,249.18523701198,15,0.91571557920654
ctrl1,249.18523701198,16,0.9361302447388092
ctrl1,249.18523701198,17,0.9186442924303716
ctrl1,249.18523701198,18,0.9431767449369046
ctrl1,249.18523701198,19,0.9952954158285284
ctrl1,251.20052794973,0,0.9462185021242188
ctrl1,251.20052794973,1,0.9896646386039828
ctrl1,251.20052794973,2,0.9480423372240384
ctrl1,251.20052794973,3,0.9363327691912244
ctrl1,251.20052794973,4,0.938891713703881
ctrl1,251.20052794973,5,0.962726581080134
ctrl1,251.20052794973,6,0.9873112373610872
ctrl1,251.20052794973,7,0.9295185234357232
ctrl1,251.20052794973,8,0.957989530376417
ctrl1,251.20052794973,9,0.979083642498946
ctrl1,251.20052794973,10,0.9649556291312368
ctrl1,251.20052794973,11,0.9530081874198728
ctrl1,251.20052794973,12,0.9419894932762728
ctrl1,251.20052794973,13,0.9664446956430026
ctrl1,251.20052794973,14,0.9312725796939546
ctrl1,251.20052794973,15,0.966770088458106
ctrl1,251.20052794973,16,0.96801963839075
ctrl1,251.20052794973,17,0.95298676353208
ctrl1,251.20052794973,18,0.9633111176873492
ctrl1,251.20052794973,19,0.9907460531529318
ctrl1,253.21692413866,0,0.9291360694105804
ctrl1,253.21692413866,1,0.9520163634083614
ctrl1,253.21692413866,2,0.922072080835186
ctrl1,253.21692413866,3,0.9528955341074424
ctrl1,253.21692413866,4,0.9239839391637394
ctrl1,253.21692413866,5,0.9539775942261608
ctrl1,253.21692413866,6,0.9468602052001562
ctrl1,253.21692413866,7,0.9516789199261996
ctrl1,253.21692413866,8,0.929298725450356
ctrl1,253.21692413866,9,0.9550224205172572
ctrl1,253.21692413866,10,0.95356503943585
ctrl1,253.21692413866,11,0.9250323104085088
ctrl1,253.21692413866,12,0.9524271045278678
ctrl1,253.21692413866,13,0.9288450758393462
ctrl1,253.21692413866,14,0.9493716070206912
ctrl1,253.21692413866,15,0.9183979873629736
ctrl1,253.21692413866,16,0.9381719746306127
ctrl1,253.21692413866,17,0.9429498855178352
ctrl1,253.21692413866,18,0.9346438088074164
ctrl1,253.21692413866,19,0.9438184912580307
ctrl1,263.20060388181,0,0.9479040884336816
ctrl1,263.20060388181,1,0.9825971016545418
ctrl1,263.20060388181,2,0.9692022575381688
ctrl1,263.20060388181,3,0.936699659803894
ctrl1,263.20060388181,4,0.9736888998061172
ctrl1,263.20060388181,5,0.9961116518066888
ctrl1,263.20060388181,6,0.9611519829346756
ctrl1,263.20060388181,7,0.9812866164022678
ctrl1,263.20060388181,8,0.9596795535118294
ctrl1,263.20060388181,9,0.946135260624125
ctrl1,263.20060388181,10,0.99230187318629
ctrl1,263.20060388181,11,0.9769763329554768
